image,xmin,ymin,xmax,ymax,label,score
converted_png/0000_01.png,1143,358,1995,1887,1,4.138065814971924
converted_png/0000_02.png,156,597,1508,2858,1,3.0064520835876465
converted_png/0002_00.png,2331,320,2998,1120,1,4.586131572723389
converted_png/0002_00.png,1490,2474,1689,2709,1,4.586131572723389
converted_png/0002_00.png,641,3232,3146,4095,1,4.586131572723389
converted_png/0002_01.png,1854,458,3327,3381,1,3.08644962310791
converted_png/0002_02.png,1548,204,1819,723,1,4.692457675933838
converted_png/0002_02.png,389,1964,1876,2456,1,4.692457675933838
converted_png/0002_03.png,306,409,868,1375,1,6.45035457611084
converted_png/0002_03.png,675,2111,1793,2456,1,6.45035457611084
converted_png/0002_04.png,1638,586,3327,3381,1,4.012418270111084
converted_png/0002_05.png,998,319,1995,1721,1,4.385952472686768
converted_png/0002_05.png,1616,1260,1995,1855,1,4.385952472686768
converted_png/0002_08.png,972,345,1751,1887,1,3.559260845184326
converted_png/0002_08.png,1777,1548,1995,2079,1,3.559260845184326
converted_png/0003_00.png,665,467,1543,1714,1,3.7691242694854736
converted_png/0003_01.png,727,415,1995,1996,1,4.652232646942139
converted_png/0003_02.png,1222,693,2608,3093,1,3.54611611366272
converted_png/0003_02.png,2669,1824,3327,2666,1,3.54611611366272
converted_png/0003_04.png,277,736,2452,3637,1,5.800728797912598
converted_png/0003_04.png,416,2336,771,2762,1,5.800728797912598
converted_png/0003_05.png,810,390,1554,1855,1,4.367605686187744
converted_png/0003_05.png,1626,684,1995,1644,1,4.367605686187744
converted_png/0003_06.png,1126,490,2426,3434,1,3.592424869537353
converted_png/0003_06.png,2851,1824,3137,2240,1,3.592424869537353
converted_png/0003_06.png,3059,2816,3327,3274,1,3.592424869537353
converted_png/0003_06.png,2565,2858,2712,3008,1,3.592424869537353
converted_png/0003_07.png,1118,821,2470,3093,1,3.9508731365203857
converted_png/0004_00.png,216,896,2730,3434,1,5.841044425964356
converted_png/0004_06.png,1096,1215,1637,2156,1,5.757262706756592
converted_png/0004_06.png,847,1676,1039,2015,1,5.757262706756592
converted_png/0004_06.png,530,1989,701,2265,1,5.757262706756592
converted_png/0004_07.png,1672,1109,3327,3552,1,3.12705397605896
converted_png/0004_07.png,3102,2997,3327,3520,1,3.12705397605896
converted_png/0004_09.png,520,1237,2530,4095,1,4.627588748931885
